season,epi_week_of_season,week_start,cases,hospitalizations,deaths,population,cases_per_100k,hospitalizations_per_100k,deaths_per_100k,state
2024/2025,14,2024-09-30,2402514,40545,2513,229501935,1046.838,17.667,1.095,NATIONAL
2024/2025,15,2024-10-07,4351261,58693,4824,229501935,1895.958,25.574,2.102,NATIONAL
2024/2025,16,2024-10-14,4408272,71090,5695,229501935,1920.799,30.976,2.481,NATIONAL
2024/2025,17,2024-10-21,3554352,55301,4823,229501935,1548.724,24.096,2.102,NATIONAL
2024/2025,18,2024-10-28,2512026,31367,4007,229501935,1094.555,13.667,1.746,NATIONAL
2024/2025,19,2024-11-04,1513462,15842,2048,229501935,659.455,6.903,0.892,NATIONAL
2024/2025,20,2024-11-11,420664,5490,891,229501935,183.294,2.392,0.388,NATIONAL
2024/2025,21,2024-11-18,87112,1331,153,229501935,37.957,0.58,0.067,NATIONAL
2024/2025,22,2024-11-25,31157,470,46,229501935,13.576,0.205,0.02,NATIONAL
2024/2025,23,2024-12-02,38154,576,46,229501935,16.625,0.251,0.02,NATIONAL
2024/2025,24,2024-12-09,78014,1191,133,229501935,33.993,0.519,0.058,NATIONAL
2024/2025,25,2024-12-16,216220,2813,306,229501935,94.213,1.226,0.133,NATIONAL
2024/2025,26,2024-12-23,510970,6971,783,229501935,222.643,3.037,0.341,NATIONAL
2024/2025,27,2024-12-30,1272581,18761,1832,229501935,554.497,8.175,0.798,NATIONAL
2024/2025,28,2025-01-06,2286157,33821,3355,229501935,996.138,14.737,1.462,NATIONAL
2024/2025,29,2025-01-13,2881605,39102,3843,229501935,1255.591,17.038,1.674,NATIONAL
2024/2025,30,2025-01-20,1995662,27129,3183,229501935,869.562,11.821,1.387,NATIONAL
2024/2025,31,2025-01-27,911678,13033,1389,229501935,397.242,5.679,0.605,NATIONAL
2024/2025,32,2025-02-03,225252,3426,373,229501935,98.148,1.493,0.163,NATIONAL
2024/2025,33,2025-02-10,41704,631,59,229501935,18.172,0.275,0.026,NATIONAL
2024/2025,34,2025-02-17,12051,150,12,229501935,5.251,0.065,0.005,NATIONAL
2024/2025,35,2025-02-24,8701,145,15,229501935,3.791,0.063,0.007,NATIONAL
2024/2025,36,2025-03-03,8748,111,7,229501935,3.812,0.048,0.003,NATIONAL
2024/2025,37,2025-03-10,8014,122,9,229501935,3.492,0.053,0.004,NATIONAL
2024/2025,38,2025-03-17,8632,114,13,229501935,3.761,0.05,0.006,NATIONAL
2024/2025,39,2025-03-24,8329,136,12,229501935,3.629,0.059,0.005,NATIONAL
2024/2025,40,2025-03-31,7757,121,18,229501935,3.38,0.053,0.008,NATIONAL
2024/2025,41,2025-04-07,8085,123,17,229501935,3.523,0.054,0.007,NATIONAL
2024/2025,42,2025-04-14,8479,143,12,229501935,3.695,0.062,0.005,NATIONAL
2024/2025,43,2025-04-21,8046,120,10,229501935,3.506,0.052,0.004,NATIONAL
2024/2025,44,2025-04-28,7648,137,16,229501935,3.332,0.06,0.007,NATIONAL
2024/2025,45,2025-05-05,9049,112,12,229501935,3.943,0.049,0.005,NATIONAL
2024/2025,46,2025-05-12,8924,141,15,229501935,3.888,0.061,0.007,NATIONAL
2024/2025,47,2025-05-19,7782,105,9,229501935,3.391,0.046,0.004,NATIONAL
2024/2025,48,2025-05-26,8827,103,15,229501935,3.846,0.045,0.007,NATIONAL
2024/2025,49,2025-06-02,8612,145,13,229501935,3.752,0.063,0.006,NATIONAL
2024/2025,50,2025-06-09,8495,134,6,229501935,3.701,0.058,0.003,NATIONAL
2024/2025,51,2025-06-16,8905,127,8,229501935,3.88,0.055,0.003,NATIONAL
2024/2025,52,2025-06-23,8720,130,17,229501935,3.8,0.057,0.007,NATIONAL
2025/2026,1,2025-06-30,98934,1599,169,229501935,43.108,0.697,0.074,NATIONAL
2025/2026,2,2025-07-07,23925,433,22,229501935,10.425,0.189,0.01,NATIONAL
2025/2026,3,2025-07-14,27587,374,45,229501935,12.02,0.163,0.02,NATIONAL
2025/2026,4,2025-07-21,28483,354,41,229501935,12.411,0.154,0.018,NATIONAL
2025/2026,5,2025-07-28,24937,453,28,229501935,10.866,0.197,0.012,NATIONAL
2025/2026,6,2025-08-04,28747,394,37,229501935,12.526,0.172,0.016,NATIONAL
2025/2026,7,2025-08-11,30877,459,36,229501935,13.454,0.2,0.016,NATIONAL
2025/2026,8,2025-08-18,31993,449,43,229501935,13.94,0.196,0.019,NATIONAL
2025/2026,9,2025-08-25,40765,704,44,229501935,17.762,0.307,0.019,NATIONAL
2025/2026,10,2025-09-01,65401,1114,97,229501935,28.497,0.485,0.042,NATIONAL
2025/2026,11,2025-09-08,139005,2478,165,229501935,60.568,1.08,0.072,NATIONAL
2025/2026,12,2025-09-15,378028,6030,401,229501935,164.717,2.627,0.175,NATIONAL
2025/2026,13,2025-09-22,963873,14717,1229,229501935,419.985,6.413,0.536,NATIONAL
2025/2026,14,2025-09-29,2081132,29444,2014,229501935,906.804,12.83,0.878,NATIONAL
2025/2026,15,2025-10-06,3583057,50765,3927,229501935,1561.232,22.12,1.711,NATIONAL
2025/2026,16,2025-10-13,3424779,52855,5344,229501935,1492.266,23.03,2.329,NATIONAL
2025/2026,17,2025-10-20,3170345,44046,4647,229501935,1381.402,19.192,2.025,NATIONAL
2025/2026,18,2025-10-27,2202896,30169,2973,229501935,959.859,13.145,1.295,NATIONAL
2025/2026,19,2025-11-03,1029747,14972,1665,229501935,448.688,6.524,0.725,NATIONAL
2025/2026,20,2025-11-10,395821,6007,629,229501935,172.47,2.617,0.274,NATIONAL
2025/2026,21,2025-11-17,143250,1942,216,229501935,62.418,0.846,0.094,NATIONAL
2025/2026,22,2025-11-24,104327,1303,154,229501935,45.458,0.568,0.067,NATIONAL
2025/2026,23,2025-12-01,128543,1964,195,229501935,56.01,0.856,0.085,NATIONAL
2025/2026,24,2025-12-08,238307,3822,348,229501935,103.837,1.665,0.152,NATIONAL
2025/2026,25,2025-12-15,398390,6610,696,229501935,173.589,2.88,0.303,NATIONAL
2025/2026,26,2025-12-22,703147,10603,1112,229501935,306.38,4.62,0.485,NATIONAL
2025/2026,27,2025-12-29,831576,14021,1410,229501935,362.339,6.109,0.614,NATIONAL
2025/2026,28,2026-01-05,790889,13069,1203,229501935,344.611,5.695,0.524,NATIONAL
2025/2026,29,2026-01-12,390976,5521,616,229501935,170.358,2.406,0.268,NATIONAL
2025/2026,30,2026-01-19,140261,2096,220,229501935,61.115,0.913,0.096,NATIONAL
2025/2026,31,2026-01-26,45983,719,64,229501935,20.036,0.313,0.028,NATIONAL
2025/2026,32,2026-02-02,32184,376,45,229501935,14.023,0.164,0.02,NATIONAL
2025/2026,33,2026-02-09,26922,391,29,229501935,11.731,0.17,0.013,NATIONAL
2025/2026,34,2026-02-16,26023,382,47,229501935,11.339,0.166,0.02,NATIONAL
2025/2026,35,2026-02-23,24437,344,43,229501935,10.648,0.15,0.019,NATIONAL
2025/2026,36,2026-03-02,26292,404,38,229501935,11.456,0.176,0.017,NATIONAL
2025/2026,37,2026-03-09,28414,368,45,229501935,12.381,0.16,0.02,NATIONAL
2025/2026,38,2026-03-16,26974,345,46,229501935,11.753,0.15,0.02,NATIONAL
2025/2026,39,2026-03-23,28330,408,39,229501935,12.344,0.178,0.017,NATIONAL
2025/2026,40,2026-03-30,26582,405,31,229501935,11.582,0.176,0.014,NATIONAL
2025/2026,41,2026-04-06,25437,379,30,229501935,11.084,0.165,0.013,NATIONAL
2025/2026,42,2026-04-13,24950,384,42,229501935,10.871,0.167,0.018,NATIONAL
2025/2026,43,2026-04-20,27236,400,37,229501935,11.867,0.174,0.016,NATIONAL
2025/2026,44,2026-04-27,22601,414,37,229501935,9.848,0.18,0.016,NATIONAL
2025/2026,45,2026-05-04,28432,406,36,229501935,12.389,0.177,0.016,NATIONAL
2025/2026,46,2026-05-11,25302,401,46,229501935,11.025,0.175,0.02,NATIONAL
2025/2026,47,2026-05-18,27169,444,39,229501935,11.838,0.193,0.017,NATIONAL
2025/2026,48,2026-05-25,26214,354,37,229501935,11.422,0.154,0.016,NATIONAL
2025/2026,49,2026-06-01,24425,384,34,229501935,10.643,0.167,0.015,NATIONAL
2025/2026,50,2026-06-08,26909,406,41,229501935,11.725,0.177,0.018,NATIONAL
2025/2026,51,2026-06-15,24832,346,36,229501935,10.82,0.151,0.016,NATIONAL
2025/2026,52,2026-06-22,23608,406,35,229501935,10.287,0.177,0.015,NATIONAL
