season,state,zone,climate,population,total_cases,total_hospitalizations,total_deaths,peak_weekly_cases,attack_rate_pct,cum_cases_per_100k,cum_deaths_per_100k,cfr_pct,peak_epi_week,peak_week_start
2025/2026,Akwa Ibom,SS,tropical,5780581,584835,8444,703,129895,10.12,10117.2,12.16,0.12,14,2025-09-29
2025/2026,Anambra,SE,tropical,7299910,727798,11214,904,143694,9.97,9970.0,12.38,0.124,15,2025-10-06
2025/2026,Bauchi,NE,sahel,7540663,709190,9681,1101,147371,9.4,9404.9,14.6,0.155,17,2025-10-20
2025/2026,Bayelsa,SS,tropical,2394725,204836,3759,377,48473,8.55,8553.6,15.74,0.184,15,2025-10-06
2025/2026,Benue,NC,savanna,6687706,603403,8217,881,133975,9.02,9022.6,13.17,0.146,17,2025-10-20
2025/2026,Borno,NE,sahel,6651590,541122,7457,1120,85615,8.14,8135.2,16.84,0.207,18,2025-10-27
2025/2026,Cross River,SS,tropical,4175020,384045,7087,524,87540,9.2,9198.6,12.55,0.136,16,2025-10-13
2025/2026,Delta,SS,tropical,6107543,601542,9354,785,146268,9.85,9849.2,12.85,0.13,15,2025-10-06
2025/2026,Ebonyi,SE,tropical,4007155,451445,6030,461,114085,11.27,11266.0,11.5,0.102,15,2025-10-06
2025/2026,Edo,SS,tropical,5527810,593685,9113,547,155242,10.74,10740.0,9.9,0.092,16,2025-10-13
2025/2026,Ekiti,SW,tropical,3398177,388280,5563,396,99213,11.43,11426.1,11.65,0.102,15,2025-10-06
2025/2026,Enugu,SE,tropical,5396098,563151,8673,651,109500,10.44,10436.3,12.06,0.116,17,2025-10-20
2025/2026,FCT,NC,savanna,4802443,478782,9835,440,149814,9.97,9969.6,9.16,0.092,16,2025-10-13
2025/2026,Gombe,NE,sahel,4623462,350462,5554,828,65961,7.58,7580.1,17.91,0.236,18,2025-10-27
2025/2026,Imo,SE,tropical,6067722,671233,9141,781,146974,11.06,11062.4,12.87,0.116,15,2025-10-06
2025/2026,Jigawa,NW,sahel,6979080,637880,7991,1341,128232,9.14,9139.9,19.21,0.21,19,2025-11-03
2025/2026,Kaduna,NW,savanna,8324285,856822,11671,1179,199737,10.29,10293.0,14.16,0.138,17,2025-10-20
2025/2026,Kano,NW,sahel,16253549,1441952,18440,2102,385060,8.87,8871.6,12.93,0.146,18,2025-10-27
2025/2026,Katsina,NW,sahel,9300382,825682,11098,1355,181052,8.88,8877.9,14.57,0.164,18,2025-10-27
2025/2026,Kebbi,NW,sahel,6001610,489197,6890,1103,83973,8.15,8151.1,18.38,0.225,17,2025-10-20
2025/2026,Kogi,NC,savanna,5053734,436223,7925,805,75734,8.63,8631.7,15.93,0.185,16,2025-10-13
2025/2026,Kwara,NC,savanna,4259613,429532,6009,609,88274,10.08,10083.8,14.3,0.142,17,2025-10-20
2025/2026,Lagos,SW,tropical,15772884,2002223,30668,963,662705,12.69,12694.1,6.11,0.048,15,2025-10-06
2025/2026,Nasarawa,NC,savanna,3632239,319585,6128,428,73960,8.8,8798.6,11.78,0.134,16,2025-10-13
2025/2026,Niger,NC,savanna,6720617,626955,8525,914,117784,9.33,9328.8,13.6,0.146,17,2025-10-20
2025/2026,Ogun,SW,tropical,6445275,734012,9239,799,238288,11.39,11388.4,12.4,0.109,15,2025-10-06
2025/2026,Ondo,SW,tropical,5469707,608895,9338,540,176702,11.13,11132.1,9.87,0.089,16,2025-10-13
2025/2026,Osun,SW,tropical,4237396,348468,6850,652,80190,8.22,8223.6,15.39,0.187,16,2025-10-13
2025/2026,Oyo,SW,tropical,7512855,635262,12324,782,189811,8.46,8455.7,10.41,0.123,15,2025-10-06
2025/2026,Plateau,NC,savanna,5400974,562992,6920,727,94813,10.42,10423.9,13.46,0.129,17,2025-10-20
2025/2026,Rivers,SS,tropical,7234973,627070,12185,928,126566,8.67,8667.2,12.83,0.148,15,2025-10-06
2025/2026,Sokoto,NW,sahel,6163187,521525,6105,889,148251,8.46,8461.9,14.42,0.17,18,2025-10-27
2025/2026,Taraba,NE,savanna,4331885,454717,5234,724,112654,10.5,10497.0,16.71,0.159,17,2025-10-20
2025/2026,Yobe,NE,sahel,4350401,374071,4198,800,75284,8.6,8598.5,18.39,0.214,17,2025-10-20
2025/2026,Zamfara,NW,sahel,5517793,420042,6379,974,94288,7.61,7612.5,17.65,0.232,17,2025-10-20
