level,group,target,population,cumulative_mean,cumulative_p50,cumulative_p95,peak_week_mode,peak_value_p50,attack_rate_per_100k_p50
state,Kogi,hospitalizations,5053734,16005.435685360859,15461.862395430573,23250.70639438507,17,3715.999458909415,
state,Kogi,deaths,5053734,1248.2700123514858,1184.864313625877,1853.4076119211654,16,247.2892631846817,
state,Abia,cases,4841943,1309459.3166387994,1242956.0824799654,2053386.0296989952,16,359761.7884892703,25670.605425961552
state,Abia,hospitalizations,4841943,13471.344450934037,12918.25010142805,20011.694029151302,15,3270.273289690941,
state,Abia,deaths,4841943,1127.0295896651805,1057.4293075965163,1775.5133613839876,15,267.85959720848257,
state,FCT,cases,4802443,918384.2901307952,872230.1700993748,1388080.4971500244,17,213140.97057483403,18162.218064834397
state,FCT,hospitalizations,4802443,15922.969197680794,15410.375570689092,23187.613429686986,17,3762.6749492060835,
state,FCT,deaths,4802443,766.482840423443,724.2815651521057,1161.250054053627,16,160.67385338626048,
state,Gombe,cases,4623462,1028228.7995091458,977806.4216889834,1556444.1009762255,18,238409.2185853165,21148.79330010679
state,Gombe,hospitalizations,4623462,14268.085079671448,13826.537861001912,20474.288250484,17,3171.270005592103,
state,Gombe,deaths,4623462,1578.7658981331294,1495.7354832802184,2356.4123709768955,18,316.77841215409626,
state,Yobe,cases,4350401,947291.2259163307,904596.6168781613,1388218.9573911917,18,204624.94930569024,20793.407708350594
state,Yobe,hospitalizations,4350401,12770.879272659906,12295.441779261793,18580.070313281845,19,2919.7048293262746,
state,Yobe,deaths,4350401,1660.905217821128,1571.323371223758,2449.0864711216045,18,318.57475624527814,
state,Taraba,cases,4331885,871193.9968292621,833480.346106898,1330484.948392957,17,206351.66123396758,19240.592631311727
state,Taraba,hospitalizations,4331885,12754.141649334095,12342.58799668763,18699.00172266925,17,3031.6094758150484,
state,Taraba,deaths,4331885,1578.23700351275,1485.764600922817,2390.00554010014,16,349.17431611337514,
state,Kwara,cases,4259613,1040440.7573414276,990879.6249634259,1608620.910019143,17,254063.7239849114,23262.19834908537
state,Kwara,hospitalizations,4259613,9417.659257725329,9102.7683900993,13715.166807013828,16,2097.555835164566,
state,Kwara,deaths,4259613,1201.0457072962854,1135.5014940152637,1797.1717170964303,16,248.74950018484927,
state,Osun,cases,4237396,753020.8843364671,719780.8874829366,1177206.3947124705,17,191709.76615495226,16986.39653888701
state,Osun,hospitalizations,4237396,13925.304255002286,13395.35957564212,20898.970392225314,15,3517.860154749559,
state,Osun,deaths,4237396,1025.8568828869038,965.1195812737508,1578.1049055914639,15,231.98273640471535,
state,Cross River,cases,4175020,726007.9527832181,696329.0648588297,1105974.6628694294,17,168783.57962108467,16678.46057884345
state,Cross River,hospitalizations,4175020,12368.973482728292,11946.283351262424,18231.149242073683,15,2933.4821499232207,
state,Cross River,deaths,4175020,774.7860772199979,734.6718713049866,1169.5113977643205,17,163.7925998600943,
state,Ebonyi,cases,4007155,917573.7353204831,877599.993039203,1387330.170792497,15,222844.4238331812,21900.824725751885
state,Ebonyi,hospitalizations,4007155,11731.137774063975,11244.279524803118,17668.55996003275,14,3050.4440081078146,
state,Ebonyi,deaths,4007155,903.2617367006185,853.6264945287477,1383.3772778740074,17,199.90291604592016,
state,Nasarawa,cases,3632239,697679.2663557177,667848.581805382,1052269.047752994,17,159484.8277248543,18386.691564222012
state,Nasarawa,hospitalizations,3632239,11192.137179227362,10826.80832830895,16351.585525340939,17,2641.219871455255,
state,Nasarawa,deaths,3632239,1110.6419294189297,1049.6892754604378,1693.241382308907,16,237.58434226581767,
state,Ekiti,cases,3398177,740312.4074920838,708868.1188350818,1120711.8906276322,15,184164.61675384885,20860.247092340447
state,Ekiti,hospitalizations,3398177,9065.105047297202,8724.332424020435,13468.748587042226,15,2206.5950910307056,
state,Ekiti,deaths,3398177,586.7603152072089,555.8803059701271,889.6951416304396,15,123.44648378412731,
state,Bayelsa,cases,2394725,361213.188602247,348538.564405501,529302.3636538693,15,79107.43252615727,14554.429606969527
state,Bayelsa,hospitalizations,2394725,6733.184664041436,6472.150924918308,9895.937002137425,15,1521.1730951794639,
state,Bayelsa,deaths,2394725,604.4740447371771,576.0164828926258,896.1235680833333,17,120.30507019638388,
