season,state,zone,climate,population,epi_week_of_season,week_start,iso_year,iso_week,cases,hospitalizations,deaths,cases_per_100k,hosp_per_100k,deaths_per_100k
2023/2024,Kano,NW,sahel,16253549,45,2024-05-06,2024,19,5212,35,13,32.067,0.215,0.08
2023/2024,Kano,NW,sahel,16253549,46,2024-05-13,2024,20,2473,47,1,15.215,0.289,0.006
2023/2024,Kano,NW,sahel,16253549,47,2024-05-20,2024,21,2994,30,7,18.421,0.185,0.043
2023/2024,Kano,NW,sahel,16253549,48,2024-05-27,2024,22,2815,48,9,17.319,0.295,0.055
2023/2024,Kano,NW,sahel,16253549,49,2024-06-03,2024,23,2813,40,5,17.307,0.246,0.031
2023/2024,Kano,NW,sahel,16253549,50,2024-06-10,2024,24,1998,54,2,12.293,0.332,0.012
2023/2024,Kano,NW,sahel,16253549,51,2024-06-17,2024,25,3205,50,6,19.719,0.308,0.037
2023/2024,Kano,NW,sahel,16253549,52,2024-06-24,2024,26,3410,43,0,20.98,0.265,0.0
2023/2024,Lagos,SW,tropical,15772884,1,2023-07-03,2023,27,3557,73,5,22.551,0.463,0.032
2023/2024,Lagos,SW,tropical,15772884,2,2023-07-10,2023,28,1534,24,1,9.726,0.152,0.006
2023/2024,Lagos,SW,tropical,15772884,3,2023-07-17,2023,29,2637,59,2,16.719,0.374,0.013
2023/2024,Lagos,SW,tropical,15772884,4,2023-07-24,2023,30,1199,47,5,7.602,0.298,0.032
2023/2024,Lagos,SW,tropical,15772884,5,2023-07-31,2023,31,998,44,3,6.327,0.279,0.019
2023/2024,Lagos,SW,tropical,15772884,6,2023-08-07,2023,32,3079,59,1,19.521,0.374,0.006
2023/2024,Lagos,SW,tropical,15772884,7,2023-08-14,2023,33,2259,76,3,14.322,0.482,0.019
2023/2024,Lagos,SW,tropical,15772884,8,2023-08-21,2023,34,4939,68,3,31.313,0.431,0.019
2023/2024,Lagos,SW,tropical,15772884,9,2023-08-28,2023,35,9222,219,7,58.467,1.388,0.044
2023/2024,Lagos,SW,tropical,15772884,10,2023-09-04,2023,36,16916,370,10,107.247,2.346,0.063
2023/2024,Lagos,SW,tropical,15772884,11,2023-09-11,2023,37,60059,705,52,380.774,4.47,0.33
2023/2024,Lagos,SW,tropical,15772884,12,2023-09-18,2023,38,73883,1871,82,468.418,11.862,0.52
2023/2024,Lagos,SW,tropical,15772884,13,2023-09-25,2023,39,335285,4335,158,2125.705,27.484,1.002
2023/2024,Lagos,SW,tropical,15772884,14,2023-10-02,2023,40,264378,6527,253,1676.155,41.381,1.604
2023/2024,Lagos,SW,tropical,15772884,15,2023-10-09,2023,41,111108,2624,196,704.424,16.636,1.243
2023/2024,Lagos,SW,tropical,15772884,16,2023-10-16,2023,42,102385,1992,70,649.12,12.629,0.444
2023/2024,Lagos,SW,tropical,15772884,17,2023-10-23,2023,43,17027,801,46,107.951,5.078,0.292
2023/2024,Lagos,SW,tropical,15772884,18,2023-10-30,2023,44,3735,81,4,23.68,0.514,0.025
2023/2024,Lagos,SW,tropical,15772884,19,2023-11-06,2023,45,1887,57,4,11.964,0.361,0.025
2023/2024,Lagos,SW,tropical,15772884,20,2023-11-13,2023,46,2262,38,1,14.341,0.241,0.006
2023/2024,Lagos,SW,tropical,15772884,21,2023-11-20,2023,47,5074,60,3,32.169,0.38,0.019
2023/2024,Lagos,SW,tropical,15772884,22,2023-11-27,2023,48,5754,83,3,36.48,0.526,0.019
2023/2024,Lagos,SW,tropical,15772884,23,2023-12-04,2023,49,7047,72,3,44.678,0.456,0.019
2023/2024,Lagos,SW,tropical,15772884,24,2023-12-11,2023,50,7893,263,13,50.042,1.667,0.082
2023/2024,Lagos,SW,tropical,15772884,25,2023-12-18,2023,51,22811,236,13,144.622,1.496,0.082
2023/2024,Lagos,SW,tropical,15772884,26,2023-12-25,2023,52,23700,354,13,150.258,2.244,0.082
2023/2024,Lagos,SW,tropical,15772884,27,2024-01-01,2024,1,20397,323,9,129.317,2.048,0.057
2023/2024,Lagos,SW,tropical,15772884,28,2024-01-08,2024,2,22750,243,13,144.235,1.541,0.082
2023/2024,Lagos,SW,tropical,15772884,29,2024-01-15,2024,3,8608,128,7,54.575,0.812,0.044
2023/2024,Lagos,SW,tropical,15772884,30,2024-01-22,2024,4,1999,77,2,12.674,0.488,0.013
2023/2024,Lagos,SW,tropical,15772884,31,2024-01-29,2024,5,2130,35,5,13.504,0.222,0.032
2023/2024,Lagos,SW,tropical,15772884,32,2024-02-05,2024,6,1502,50,1,9.523,0.317,0.006
2023/2024,Lagos,SW,tropical,15772884,33,2024-02-12,2024,7,1690,35,0,10.715,0.222,0.0
2023/2024,Lagos,SW,tropical,15772884,34,2024-02-19,2024,8,1297,14,2,8.223,0.089,0.013
2023/2024,Lagos,SW,tropical,15772884,35,2024-02-26,2024,9,1209,17,0,7.665,0.108,0.0
2023/2024,Lagos,SW,tropical,15772884,36,2024-03-04,2024,10,1593,34,2,10.1,0.216,0.013
2023/2024,Lagos,SW,tropical,15772884,37,2024-03-11,2024,11,1816,23,1,11.513,0.146,0.006
2023/2024,Lagos,SW,tropical,15772884,38,2024-03-18,2024,12,2229,28,1,14.132,0.178,0.006
2023/2024,Lagos,SW,tropical,15772884,39,2024-03-25,2024,13,1955,30,0,12.395,0.19,0.0
2023/2024,Lagos,SW,tropical,15772884,40,2024-04-01,2024,14,1879,34,1,11.913,0.216,0.006
2023/2024,Lagos,SW,tropical,15772884,41,2024-04-08,2024,15,2251,36,1,14.271,0.228,0.006
2023/2024,Lagos,SW,tropical,15772884,42,2024-04-15,2024,16,1165,21,0,7.386,0.133,0.0
2023/2024,Lagos,SW,tropical,15772884,43,2024-04-22,2024,17,2613,33,3,16.566,0.209,0.019
2023/2024,Lagos,SW,tropical,15772884,44,2024-04-29,2024,18,1899,47,3,12.04,0.298,0.019
2023/2024,Lagos,SW,tropical,15772884,45,2024-05-06,2024,19,1038,33,0,6.581,0.209,0.0
2023/2024,Lagos,SW,tropical,15772884,46,2024-05-13,2024,20,1178,64,0,7.469,0.406,0.0
2023/2024,Lagos,SW,tropical,15772884,47,2024-05-20,2024,21,1824,21,2,11.564,0.133,0.013
2023/2024,Lagos,SW,tropical,15772884,48,2024-05-27,2024,22,2108,34,1,13.365,0.216,0.006
2023/2024,Lagos,SW,tropical,15772884,49,2024-06-03,2024,23,1763,33,1,11.177,0.209,0.006
2023/2024,Lagos,SW,tropical,15772884,50,2024-06-10,2024,24,2183,52,0,13.84,0.33,0.0
2023/2024,Lagos,SW,tropical,15772884,51,2024-06-17,2024,25,1750,43,1,11.095,0.273,0.006
2023/2024,Lagos,SW,tropical,15772884,52,2024-06-24,2024,26,1111,34,0,7.044,0.216,0.0
2023/2024,Katsina,NW,sahel,9300382,1,2023-07-03,2023,27,8091,83,8,86.996,0.892,0.086
2023/2024,Katsina,NW,sahel,9300382,2,2023-07-10,2023,28,1203,37,4,12.935,0.398,0.043
2023/2024,Katsina,NW,sahel,9300382,3,2023-07-17,2023,29,1059,13,0,11.387,0.14,0.0
2023/2024,Katsina,NW,sahel,9300382,4,2023-07-24,2023,30,1878,44,4,20.193,0.473,0.043
2023/2024,Katsina,NW,sahel,9300382,5,2023-07-31,2023,31,1735,16,2,18.655,0.172,0.022
2023/2024,Katsina,NW,sahel,9300382,6,2023-08-07,2023,32,1353,21,1,14.548,0.226,0.011
2023/2024,Katsina,NW,sahel,9300382,7,2023-08-14,2023,33,2430,19,5,26.128,0.204,0.054
2023/2024,Katsina,NW,sahel,9300382,8,2023-08-21,2023,34,1482,17,4,15.935,0.183,0.043
2023/2024,Katsina,NW,sahel,9300382,9,2023-08-28,2023,35,1135,18,5,12.204,0.194,0.054
2023/2024,Katsina,NW,sahel,9300382,10,2023-09-04,2023,36,3133,31,3,33.687,0.333,0.032
2023/2024,Katsina,NW,sahel,9300382,11,2023-09-11,2023,37,3568,26,10,38.364,0.28,0.108
2023/2024,Katsina,NW,sahel,9300382,12,2023-09-18,2023,38,8061,108,8,86.674,1.161,0.086
2023/2024,Katsina,NW,sahel,9300382,13,2023-09-25,2023,39,14100,323,33,151.607,3.473,0.355
2023/2024,Katsina,NW,sahel,9300382,14,2023-10-02,2023,40,44696,404,43,480.582,4.344,0.462
2023/2024,Katsina,NW,sahel,9300382,15,2023-10-09,2023,41,41409,857,104,445.24,9.215,1.118
2023/2024,Katsina,NW,sahel,9300382,16,2023-10-16,2023,42,231066,1282,218,2484.479,13.784,2.344
2023/2024,Katsina,NW,sahel,9300382,17,2023-10-23,2023,43,95247,1220,229,1024.119,13.118,2.462
2023/2024,Katsina,NW,sahel,9300382,18,2023-10-30,2023,44,58573,715,147,629.791,7.688,1.581
2023/2024,Katsina,NW,sahel,9300382,19,2023-11-06,2023,45,24454,274,72,262.935,2.946,0.774
2023/2024,Katsina,NW,sahel,9300382,20,2023-11-13,2023,46,5078,82,12,54.6,0.882,0.129
2023/2024,Katsina,NW,sahel,9300382,21,2023-11-20,2023,47,2832,24,3,30.45,0.258,0.032
2023/2024,Katsina,NW,sahel,9300382,22,2023-11-27,2023,48,5212,47,10,56.041,0.505,0.108
2023/2024,Katsina,NW,sahel,9300382,23,2023-12-04,2023,49,5831,87,13,62.696,0.935,0.14
2023/2024,Katsina,NW,sahel,9300382,24,2023-12-11,2023,50,15127,170,16,162.649,1.828,0.172
2023/2024,Katsina,NW,sahel,9300382,25,2023-12-18,2023,51,19759,404,47,212.454,4.344,0.505
2023/2024,Katsina,NW,sahel,9300382,26,2023-12-25,2023,52,31071,351,45,334.083,3.774,0.484
2023/2024,Katsina,NW,sahel,9300382,27,2024-01-01,2024,1,22683,504,43,243.893,5.419,0.462
2023/2024,Katsina,NW,sahel,9300382,28,2024-01-08,2024,2,25161,297,37,270.537,3.193,0.398
2023/2024,Katsina,NW,sahel,9300382,29,2024-01-15,2024,3,13065,129,12,140.478,1.387,0.129
2023/2024,Katsina,NW,sahel,9300382,30,2024-01-22,2024,4,6846,44,3,73.61,0.473,0.032
2023/2024,Katsina,NW,sahel,9300382,31,2024-01-29,2024,5,3400,16,4,36.558,0.172,0.043
2023/2024,Katsina,NW,sahel,9300382,32,2024-02-05,2024,6,2417,14,3,25.988,0.151,0.032
2023/2024,Katsina,NW,sahel,9300382,33,2024-02-12,2024,7,1687,19,1,18.139,0.204,0.011
2023/2024,Katsina,NW,sahel,9300382,34,2024-02-19,2024,8,1218,18,7,13.096,0.194,0.075
2023/2024,Katsina,NW,sahel,9300382,35,2024-02-26,2024,9,1363,23,3,14.655,0.247,0.032
2023/2024,Katsina,NW,sahel,9300382,36,2024-03-04,2024,10,2319,19,2,24.934,0.204,0.022
2023/2024,Katsina,NW,sahel,9300382,37,2024-03-11,2024,11,1783,22,5,19.171,0.237,0.054
2023/2024,Katsina,NW,sahel,9300382,38,2024-03-18,2024,12,1685,33,1,18.118,0.355,0.011
2023/2024,Katsina,NW,sahel,9300382,39,2024-03-25,2024,13,1727,27,3,18.569,0.29,0.032
2023/2024,Katsina,NW,sahel,9300382,40,2024-04-01,2024,14,1940,24,4,20.859,0.258,0.043
2023/2024,Katsina,NW,sahel,9300382,41,2024-04-08,2024,15,1885,30,4,20.268,0.323,0.043
2023/2024,Katsina,NW,sahel,9300382,42,2024-04-15,2024,16,2807,24,2,30.182,0.258,0.022
2023/2024,Katsina,NW,sahel,9300382,43,2024-04-22,2024,17,2166,12,3,23.289,0.129,0.032
2023/2024,Katsina,NW,sahel,9300382,44,2024-04-29,2024,18,1321,13,4,14.204,0.14,0.043
2023/2024,Katsina,NW,sahel,9300382,45,2024-05-06,2024,19,1591,15,3,17.107,0.161,0.032
2023/2024,Katsina,NW,sahel,9300382,46,2024-05-13,2024,20,1944,26,1,20.902,0.28,0.011
2023/2024,Katsina,NW,sahel,9300382,47,2024-05-20,2024,21,1385,15,2,14.892,0.161,0.022
2023/2024,Katsina,NW,sahel,9300382,48,2024-05-27,2024,22,2454,14,7,26.386,0.151,0.075
2023/2024,Katsina,NW,sahel,9300382,49,2024-06-03,2024,23,1488,14,2,15.999,0.151,0.022
2023/2024,Katsina,NW,sahel,9300382,50,2024-06-10,2024,24,2525,29,2,27.149,0.312,0.022
2023/2024,Katsina,NW,sahel,9300382,51,2024-06-17,2024,25,1011,25,1,10.871,0.269,0.011
2023/2024,Katsina,NW,sahel,9300382,52,2024-06-24,2024,26,1754,19,6,18.859,0.204,0.065
2023/2024,Kaduna,NW,savanna,8324285,1,2023-07-03,2023,27,4423,116,3,53.134,1.394,0.036
2023/2024,Kaduna,NW,savanna,8324285,2,2023-07-10,2023,28,1146,17,3,13.767,0.204,0.036
2023/2024,Kaduna,NW,savanna,8324285,3,2023-07-17,2023,29,1462,13,1,17.563,0.156,0.012
2023/2024,Kaduna,NW,savanna,8324285,4,2023-07-24,2023,30,870,10,2,10.451,0.12,0.024
2023/2024,Kaduna,NW,savanna,8324285,5,2023-07-31,2023,31,1431,24,6,17.191,0.288,0.072
2023/2024,Kaduna,NW,savanna,8324285,6,2023-08-07,2023,32,1234,17,4,14.824,0.204,0.048
2023/2024,Kaduna,NW,savanna,8324285,7,2023-08-14,2023,33,1006,36,3,12.085,0.432,0.036
2023/2024,Kaduna,NW,savanna,8324285,8,2023-08-21,2023,34,1279,22,4,15.365,0.264,0.048
2023/2024,Kaduna,NW,savanna,8324285,9,2023-08-28,2023,35,2021,16,4,24.278,0.192,0.048
2023/2024,Kaduna,NW,savanna,8324285,10,2023-09-04,2023,36,4400,43,4,52.857,0.517,0.048
2023/2024,Kaduna,NW,savanna,8324285,11,2023-09-11,2023,37,12630,178,20,151.725,2.138,0.24
2023/2024,Kaduna,NW,savanna,8324285,12,2023-09-18,2023,38,17988,468,26,216.091,5.622,0.312
2023/2024,Kaduna,NW,savanna,8324285,13,2023-09-25,2023,39,31837,1105,75,382.459,13.274,0.901
2023/2024,Kaduna,NW,savanna,8324285,14,2023-10-02,2023,40,104962,2045,100,1260.913,24.567,1.201
2023/2024,Kaduna,NW,savanna,8324285,15,2023-10-09,2023,41,98958,1749,201,1188.787,21.011,2.415
2023/2024,Kaduna,NW,savanna,8324285,16,2023-10-16,2023,42,117382,1754,166,1410.115,21.071,1.994
2023/2024,Kaduna,NW,savanna,8324285,17,2023-10-23,2023,43,26462,764,83,317.889,9.178,0.997
2023/2024,Kaduna,NW,savanna,8324285,18,2023-10-30,2023,44,11838,267,15,142.21,3.207,0.18
2023/2024,Kaduna,NW,savanna,8324285,19,2023-11-06,2023,45,3210,35,6,38.562,0.42,0.072
2023/2024,Kaduna,NW,savanna,8324285,20,2023-11-13,2023,46,1878,22,2,22.56,0.264,0.024
2023/2024,Kaduna,NW,savanna,8324285,21,2023-11-20,2023,47,1537,32,4,18.464,0.384,0.048
2023/2024,Kaduna,NW,savanna,8324285,22,2023-11-27,2023,48,2847,73,5,34.201,0.877,0.06
2023/2024,Kaduna,NW,savanna,8324285,23,2023-12-04,2023,49,4366,83,7,52.449,0.997,0.084
2023/2024,Kaduna,NW,savanna,8324285,24,2023-12-11,2023,50,12859,106,11,154.476,1.273,0.132
2023/2024,Kaduna,NW,savanna,8324285,25,2023-12-18,2023,51,10852,184,27,130.366,2.21,0.324
2023/2024,Kaduna,NW,savanna,8324285,26,2023-12-25,2023,52,17564,282,22,210.997,3.388,0.264
2023/2024,Kaduna,NW,savanna,8324285,27,2024-01-01,2024,1,21251,322,17,255.289,3.868,0.204
2023/2024,Kaduna,NW,savanna,8324285,28,2024-01-08,2024,2,18828,261,32,226.182,3.135,0.384
2023/2024,Kaduna,NW,savanna,8324285,29,2024-01-15,2024,3,4513,84,20,54.215,1.009,0.24
2023/2024,Kaduna,NW,savanna,8324285,30,2024-01-22,2024,4,2564,67,5,30.801,0.805,0.06
2023/2024,Kaduna,NW,savanna,8324285,31,2024-01-29,2024,5,1361,22,1,16.35,0.264,0.012
2023/2024,Kaduna,NW,savanna,8324285,32,2024-02-05,2024,6,2410,18,4,28.951,0.216,0.048
2023/2024,Kaduna,NW,savanna,8324285,33,2024-02-12,2024,7,866,14,1,10.403,0.168,0.012
2023/2024,Kaduna,NW,savanna,8324285,34,2024-02-19,2024,8,995,20,0,11.953,0.24,0.0
2023/2024,Kaduna,NW,savanna,8324285,35,2024-02-26,2024,9,1667,9,2,20.026,0.108,0.024
2023/2024,Kaduna,NW,savanna,8324285,36,2024-03-04,2024,10,2149,14,1,25.816,0.168,0.012
2023/2024,Kaduna,NW,savanna,8324285,37,2024-03-11,2024,11,1162,18,1,13.959,0.216,0.012
2023/2024,Kaduna,NW,savanna,8324285,38,2024-03-18,2024,12,899,13,2,10.8,0.156,0.024
2023/2024,Kaduna,NW,savanna,8324285,39,2024-03-25,2024,13,1425,18,0,17.119,0.216,0.0
2023/2024,Kaduna,NW,savanna,8324285,40,2024-04-01,2024,14,1002,25,6,12.037,0.3,0.072
2023/2024,Kaduna,NW,savanna,8324285,41,2024-04-08,2024,15,1286,29,1,15.449,0.348,0.012
2023/2024,Kaduna,NW,savanna,8324285,42,2024-04-15,2024,16,731,13,5,8.782,0.156,0.06
2023/2024,Kaduna,NW,savanna,8324285,43,2024-04-22,2024,17,1785,12,1,21.443,0.144,0.012
2023/2024,Kaduna,NW,savanna,8324285,44,2024-04-29,2024,18,2049,22,3,24.615,0.264,0.036
2023/2024,Kaduna,NW,savanna,8324285,45,2024-05-06,2024,19,578,22,3,6.944,0.264,0.036
2023/2024,Kaduna,NW,savanna,8324285,46,2024-05-13,2024,20,985,15,2,11.833,0.18,0.024
2023/2024,Kaduna,NW,savanna,8324285,47,2024-05-20,2024,21,923,21,1,11.088,0.252,0.012
2023/2024,Kaduna,NW,savanna,8324285,48,2024-05-27,2024,22,1047,27,0,12.578,0.324,0.0
2023/2024,Kaduna,NW,savanna,8324285,49,2024-06-03,2024,23,1320,20,1,15.857,0.24,0.012
2023/2024,Kaduna,NW,savanna,8324285,50,2024-06-10,2024,24,742,12,0,8.914,0.144,0.0
2023/2024,Kaduna,NW,savanna,8324285,51,2024-06-17,2024,25,1132,31,1,13.599,0.372,0.012
2023/2024,Kaduna,NW,savanna,8324285,52,2024-06-24,2024,26,1462,33,0,17.563,0.396,0.0
2023/2024,Bauchi,NE,sahel,7540663,1,2023-07-03,2023,27,3775,32,11,50.062,0.424,0.146
2023/2024,Bauchi,NE,sahel,7540663,2,2023-07-10,2023,28,1777,24,6,23.566,0.318,0.08
2023/2024,Bauchi,NE,sahel,7540663,3,2023-07-17,2023,29,992,17,2,13.155,0.225,0.027
2023/2024,Bauchi,NE,sahel,7540663,4,2023-07-24,2023,30,1150,11,3,15.251,0.146,0.04
2023/2024,Bauchi,NE,sahel,7540663,5,2023-07-31,2023,31,1047,26,2,13.885,0.345,0.027
2023/2024,Bauchi,NE,sahel,7540663,6,2023-08-07,2023,32,1579,18,4,20.94,0.239,0.053
2023/2024,Bauchi,NE,sahel,7540663,7,2023-08-14,2023,33,1261,19,2,16.723,0.252,0.027
2023/2024,Bauchi,NE,sahel,7540663,8,2023-08-21,2023,34,1354,23,4,17.956,0.305,0.053
2023/2024,Bauchi,NE,sahel,7540663,9,2023-08-28,2023,35,1612,16,2,21.377,0.212,0.027
2023/2024,Bauchi,NE,sahel,7540663,10,2023-09-04,2023,36,2243,29,3,29.745,0.385,0.04
2023/2024,Bauchi,NE,sahel,7540663,11,2023-09-11,2023,37,3113,65,6,41.283,0.862,0.08
2023/2024,Bauchi,NE,sahel,7540663,12,2023-09-18,2023,38,4742,37,5,62.886,0.491,0.066
2023/2024,Bauchi,NE,sahel,7540663,13,2023-09-25,2023,39,14829,209,27,196.654,2.772,0.358
2023/2024,Bauchi,NE,sahel,7540663,14,2023-10-02,2023,40,13041,448,44,172.942,5.941,0.584
2023/2024,Bauchi,NE,sahel,7540663,15,2023-10-09,2023,41,53771,1048,100,713.081,13.898,1.326
2023/2024,Bauchi,NE,sahel,7540663,16,2023-10-16,2023,42,64399,1087,215,854.023,14.415,2.851
2023/2024,Bauchi,NE,sahel,7540663,17,2023-10-23,2023,43,57516,977,155,762.745,12.956,2.056
2023/2024,Bauchi,NE,sahel,7540663,18,2023-10-30,2023,44,78362,1101,73,1039.192,14.601,0.968
2023/2024,Bauchi,NE,sahel,7540663,19,2023-11-06,2023,45,21879,226,64,290.147,2.997,0.849
2023/2024,Bauchi,NE,sahel,7540663,20,2023-11-13,2023,46,4880,81,23,64.716,1.074,0.305
2023/2024,Bauchi,NE,sahel,7540663,21,2023-11-20,2023,47,3243,64,3,43.007,0.849,0.04
2023/2024,Bauchi,NE,sahel,7540663,22,2023-11-27,2023,48,5672,42,7,75.219,0.557,0.093
2023/2024,Bauchi,NE,sahel,7540663,23,2023-12-04,2023,49,6465,78,15,85.735,1.034,0.199
2023/2024,Bauchi,NE,sahel,7540663,24,2023-12-11,2023,50,9678,60,6,128.344,0.796,0.08
2023/2024,Bauchi,NE,sahel,7540663,25,2023-12-18,2023,51,18163,303,39,240.867,4.018,0.517
2023/2024,Bauchi,NE,sahel,7540663,26,2023-12-25,2023,52,23010,189,47,305.146,2.506,0.623
2023/2024,Bauchi,NE,sahel,7540663,27,2024-01-01,2024,1,30634,375,50,406.251,4.973,0.663
2023/2024,Bauchi,NE,sahel,7540663,28,2024-01-08,2024,2,11914,258,17,157.997,3.421,0.225
2023/2024,Bauchi,NE,sahel,7540663,29,2024-01-15,2024,3,11065,105,11,146.738,1.392,0.146
2023/2024,Bauchi,NE,sahel,7540663,30,2024-01-22,2024,4,4036,66,12,53.523,0.875,0.159
2023/2024,Bauchi,NE,sahel,7540663,31,2024-01-29,2024,5,2347,22,4,31.125,0.292,0.053
2023/2024,Bauchi,NE,sahel,7540663,32,2024-02-05,2024,6,1448,31,2,19.203,0.411,0.027
2023/2024,Bauchi,NE,sahel,7540663,33,2024-02-12,2024,7,1602,25,2,21.245,0.332,0.027
2023/2024,Bauchi,NE,sahel,7540663,34,2024-02-19,2024,8,1437,18,3,19.057,0.239,0.04
2023/2024,Bauchi,NE,sahel,7540663,35,2024-02-26,2024,9,2030,24,5,26.921,0.318,0.066
2023/2024,Bauchi,NE,sahel,7540663,36,2024-03-04,2024,10,1923,18,3,25.502,0.239,0.04
2023/2024,Bauchi,NE,sahel,7540663,37,2024-03-11,2024,11,1137,17,5,15.078,0.225,0.066
2023/2024,Bauchi,NE,sahel,7540663,38,2024-03-18,2024,12,1793,20,1,23.778,0.265,0.013
2023/2024,Bauchi,NE,sahel,7540663,39,2024-03-25,2024,13,1392,22,1,18.46,0.292,0.013
2023/2024,Bauchi,NE,sahel,7540663,40,2024-04-01,2024,14,1108,28,2,14.694,0.371,0.027
2023/2024,Bauchi,NE,sahel,7540663,41,2024-04-08,2024,15,1703,20,2,22.584,0.265,0.027
2023/2024,Bauchi,NE,sahel,7540663,42,2024-04-15,2024,16,1567,30,3,20.781,0.398,0.04
